player,season,GP_sum,MIN_sum,FG_accuracy,3P_accuracy,FT_accuracy,points_per_min,overall_shooting_accuracy
Akos Kovacs,2011 - 2012,30,495.0,0.3796,0.2593,0.8205,0.303,0.4261
Akos Kovacs,2012 - 2013,39,646.0,0.4192,0.4353,0.7123,0.3947,0.4831
Akos Kovacs,2013 - 2014,41,969.0,0.444,0.3281,0.6232,0.3416,0.4388
Akos Kovacs,2014 - 2015,41,807.0,0.4237,0.3548,0.7595,0.3903,0.47
Akos Kovacs,2015 - 2016,43,1005.0,0.3973,0.3758,0.75,0.3403,0.4405
Akos Kovacs,2016 - 2017,29,742.0,0.3882,0.3295,0.8444,0.3383,0.4297
Akos Kovacs,2017 - 2018,55,944.7,0.3333,0.2371,0.6897,0.2615,0.3837
Akos Kovacs,2018 - 2019,37,1044.0,0.4723,0.4153,0.6847,0.3975,0.5037
Akos Kovacs,2019 - 2020,18,439.0,0.4103,0.3167,0.8636,0.3052,0.4322
Akos Mayer,2019 - 2020,12,55.0,0.3333,0.25,0.5,0.1818,0.3333
Akos Nemeth,2018 - 2019,37,567.8,0.3798,0.2,0.5556,0.2184,0.3555
Akos Nemeth,2019 - 2020,30,389.9,0.3723,0.1935,0.64,0.236,0.38
Akos Vagvolgyi,2017 - 2018,33,504.0,0.4198,0.28,0.5,0.2857,0.3836
Akos Vagvolgyi,2018 - 2019,22,414.0,0.3305,0.2632,0.5455,0.2681,0.3462
Akos Vagvolgyi,2019 - 2020,15,236.0,0.3878,0.4167,0.6364,0.2542,0.4271
Akrem Guesh Dagnew,2017 - 2018,25,384.0,0.3253,0.2609,0.7857,0.2005,0.3497
Akrem Guesh Dagnew,2019 - 2020,25,386.4,0.3148,0.1667,0.6207,0.1423,0.3762
Aksel Barkvoll,2015 - 2016,20,494.6,0.4796,0.1,0.8696,0.2325,0.5191
Aksel Barkvoll,2016 - 2017,25,415.7,0.5852,0.2727,0.7273,0.4258,0.5833
Aksel Bolin,2016 - 2017,24,781.6,0.6071,0.3934,0.75,0.5693,0.6137
Aksel Bolin,2017 - 2018,28,1006.1,0.5665,0.3699,0.75,0.4811,0.5854
Akselis Vairogs,2014 - 2015,10,247.5,0.3736,0.3455,0.6875,0.396,0.3951
Al Harrington,2000 - 2001,78,1892.0,0.4438,0.1429,0.6561,0.3097,0.488
Al Harrington,2002 - 2003,88,2570.0,0.4263,0.26,0.7679,0.3969,0.4956
Al Harrington,2003 - 2004,95,2867.0,0.4585,0.2805,0.7003,0.4186,0.5
Al Harrington,2005 - 2006,76,2780.8,0.4516,0.3455,0.6943,0.5074,0.4884
Al Harrington,2006 - 2007,89,2824.6,0.4522,0.429,0.6875,0.4946,0.4837
Al Harrington,2007 - 2008,81,2190.4,0.4345,0.375,0.7737,0.5031,0.4609
Al Harrington,2008 - 2009,73,2546.5,0.4389,0.3638,0.7932,0.5769,0.474
Al Harrington,2009 - 2010,72,2195.3,0.435,0.3423,0.7571,0.5812,0.4715
Al Harrington,2010 - 2011,78,1734.2,0.4175,0.3609,0.7355,0.4573,0.4343
Al Harrington,2011 - 2012,71,1923.6,0.4351,0.3284,0.6754,0.5084,0.4423
Al Horford,2007 - 2008,88,2816.8,0.4959,0.0,0.7322,0.3227,0.5508
Al Horford,2008 - 2009,76,2494.4,0.5161,0.0,0.722,0.3347,0.5672
Al Horford,2009 - 2010,92,3233.3,0.5477,1.0,0.794,0.4048,0.6064
Al Horford,2010 - 2011,89,3171.6,0.5397,0.3333,0.7944,0.4143,0.5814
Al Horford,2011 - 2012,3,107.8,0.5882,nan,0.75,0.4267,0.619
Al Horford,2012 - 2013,80,2974.2,0.5398,0.5,0.6468,0.467,0.5578
Al Horford,2014 - 2015,92,2839.8,0.5323,0.2889,0.7578,0.4884,0.5507
Al Horford,2015 - 2016,92,2958.5,0.5009,0.3486,0.8138,0.4675,0.5022
Al Horford,2016 - 2017,86,2803.2,0.4945,0.3844,0.7927,0.4363,0.5059
Al Horford,2017 - 2018,91,2956.0,0.5005,0.4164,0.8,0.4147,0.5257
Al Horford,2018 - 2019,77,2282.9,0.5198,0.3684,0.823,0.4599,0.5172
Al Horford,2019 - 2020,71,2154.0,0.451,0.3449,0.7471,0.3835,0.4468
Al Jefferson,2004 - 2005,78,1187.0,0.5171,0.0,0.6395,0.4364,0.5464
Al Jefferson,2007 - 2008,82,2918.8,0.5003,0.0,0.7208,0.5913,0.5462
Al Jefferson,2009 - 2010,76,2463.2,0.4978,0.0,0.6805,0.5282,0.5312
Al Jefferson,2010 - 2011,82,2940.4,0.4958,nan,0.7612,0.5197,0.5435
Al Jefferson,2011 - 2012,65,2215.8,0.4946,0.2,0.7624,0.561,0.5307
Al Jefferson,2012 - 2013,78,2578.2,0.4943,0.1176,0.7696,0.5395,0.5306
Al Jefferson,2013 - 2014,76,2659.0,0.508,0.2,0.6915,0.6205,0.5353
Al Jefferson,2015 - 2016,7,168.4,0.506,nan,0.6923,0.5523,0.5312
Al Jefferson,2016 - 2017,66,930.6,0.4989,0.0,0.7647,0.5749,0.5386
Al Jefferson,2018 - 2019,10,229.8,0.5965,0.4167,0.8333,0.6571,0.6014
Al Stewart,2011 - 2012,34,1174.0,0.4935,0.28,0.663,0.3688,0.5426
Al Stewart,2012 - 2013,44,1316.0,0.4744,0.2647,0.7717,0.3062,0.5391
Al Stewart,2014 - 2015,34,970.8,0.5714,0.375,0.7053,0.3585,0.5938
Al Stewart,2016 - 2017,49,1077.3,0.5494,0.3226,0.7829,0.4539,0.5952
Al Stewart,2017 - 2018,46,1145.0,0.485,0.2542,0.7787,0.3511,0.5311
Al Thornton,2007 - 2008,79,2157.8,0.4294,0.3308,0.7431,0.4658,0.4895
Al Thornton,2008 - 2009,71,2654.1,0.4462,0.2532,0.754,0.4499,0.5024
Al Thornton,2009 - 2010,75,2079.2,0.4734,0.3548,0.7251,0.3867,0.5272
Al Thornton,2010 - 2011,71,1383.6,0.4756,0.1538,0.7746,0.3787,0.5326
Al Thornton,2019 - 2020,32,542.9,0.4567,0.3093,0.7941,0.6594,0.4753
Al'lonzo Coleman,2016 - 2017,52,1435.9,0.5223,0.1,0.5598,0.4318,0.5262
Al-Farouq Aminu,2010 - 2011,81,1451.8,0.3941,0.3147,0.7731,0.3148,0.4446
Al-Farouq Aminu,2011 - 2012,66,1477.1,0.411,0.2766,0.7544,0.2701,0.4734
Al-Farouq Aminu,2012 - 2013,76,2066.1,0.4747,0.2105,0.7372,0.2686,0.5238
Al-Farouq Aminu,2013 - 2014,80,2045.4,0.4737,0.2708,0.6642,0.2797,0.4978
Al-Farouq Aminu,2014 - 2015,79,1515.8,0.4227,0.3037,0.7226,0.3087,0.4606
Al-Farouq Aminu,2015 - 2016,93,2712.3,0.4191,0.3675,0.7351,0.3687,0.4445
Al-Farouq Aminu,2016 - 2017,65,1885.8,0.3976,0.3362,0.7007,0.3076,0.4323
Al-Farouq Aminu,2017 - 2018,73,2203.2,0.4054,0.374,0.7439,0.3236,0.4203
Al-Farouq Aminu,2018 - 2019,97,2691.0,0.4202,0.3353,0.8469,0.3263,0.4694
Al-Farouq Aminu,2019 - 2020,18,380.1,0.2907,0.25,0.6552,0.2052,0.351
Alaa Eddin Arnaout,2017 - 2018,25,551.7,0.3017,0.2,0.6667,0.1686,0.3602
Alaaddine Arnaout,2018 - 2019,13,203.0,0.3673,0.0,0.5833,0.2118,0.3968
Alade Aminu,2010 - 2011,32,588.0,0.5762,nan,0.6667,0.4932,0.5993
Alade Aminu,2011 - 2012,36,867.0,0.5612,nan,0.6357,0.4833,0.5853
Alade Aminu,2012 - 2013,35,858.3,0.6439,nan,0.6737,0.4707,0.6518
Alade Aminu,2014 - 2015,30,656.0,0.5607,0.0,0.6378,0.532,0.5858
Alade Aminu,2015 - 2016,37,1111.0,0.5795,0.125,0.6848,0.4896,0.6048
Alade Aminu,2016 - 2017,37,1108.8,0.5241,0.25,0.6575,0.5023,0.5474
Alade Aminu,2017 - 2018,27,507.0,0.5611,nan,0.6667,0.4813,0.5885
Alade Aminu,2018 - 2019,27,545.0,0.528,nan,0.7397,0.411,0.594
Alade Aminu,2019 - 2020,18,423.6,0.5677,0.0,0.6393,0.6067,0.5804
Alain Digbeu,2000 - 2001,11,208.0,0.3226,0.2308,0.8,0.3125,0.3719
Alain Digbeu,2001 - 2002,12,267.4,0.5,0.4667,0.8182,0.3665,0.5508
Alain Digbeu,2002 - 2003,14,287.0,0.3919,0.4,0.7586,0.3554,0.462
Alain Digbeu,2003 - 2004,51,1270.9,0.4382,0.3538,0.8258,0.3903,0.4857
Alain Digbeu,2004 - 2005,46,1468.8,0.4422,0.3799,0.8402,0.4031,0.5018
Alain Digbeu,2005 - 2006,46,1098.3,0.3709,0.3529,0.7591,0.3351,0.457
Alain Digbeu,2010 - 2011,29,613.0,0.3692,0.35,0.7174,0.2675,0.4203
Alain Gengler,2015 - 2016,31,676.4,0.6174,0.0,0.6032,0.3282,0.6047
Alain Gengler,2016 - 2017,28,692.4,0.4945,0.3714,0.625,0.3293,0.5055
Alain Gengler,2018 - 2019,9,137.5,0.4839,0.0,0.5625,0.2836,0.4898
Alain Gengler,2019 - 2020,21,369.2,0.4118,0.2727,0.5556,0.1869,0.4227
Alain Koffi,2003 - 2004,10,163.5,0.4688,1.0,0.6897,0.3119,0.5806
Alain Koffi,2004 - 2005,36,699.5,0.5686,nan,0.6984,0.3946,0.5993
Alain Koffi,2005 - 2006,50,1091.5,0.5616,0.0,0.7234,0.4049,0.593
Alain Koffi,2007 - 2008,49,1132.8,0.5888,0.5,0.617,0.3681,0.595
Alain Koffi,2008 - 2009,45,1259.9,0.5496,0.0,0.664,0.3913,0.5737
Alain Koffi,2009 - 2010,44,770.7,0.5366,0.0,0.58,0.3036,0.5509
Alain Koffi,2012 - 2013,38,597.6,0.5089,0.0,0.75,0.3581,0.5664
Alain Koffi,2014 - 2015,29,871.0,0.5128,nan,0.6018,0.3995,0.5389
Alain Koffi,2015 - 2016,29,795.0,0.5179,1.0,0.7654,0.4063,0.5796
Alain Koffi,2016 - 2017,49,1128.8,0.5747,0.3333,0.7044,0.5023,0.6104
Alain Koffi,2017 - 2018,34,836.0,0.4965,0.0,0.7849,0.4246,0.5661
Alain Koffi,2018 - 2019,29,627.0,0.5721,nan,0.7286,0.4482,0.6125
Alain Koffi,2019 - 2020,21,443.0,0.5039,nan,0.8542,0.3815,0.6
Alain Nzeyimana,2012 - 2013,26,566.4,0.367,0.254,0.746,0.3549,0.4204
Alain Nzeyimana,2013 - 2014,16,284.3,0.4062,0.1429,0.4375,0.2146,0.3723
Alan Anderson,2007 - 2008,38,1076.4,0.4541,0.3305,0.8232,0.4831,0.5234
Alan Anderson,2009 - 2010,20,567.6,0.4343,0.3387,0.8,0.481,0.5194
Alan Anderson,2011 - 2012,31,1115.0,0.4334,0.3546,0.813,0.7085,0.4963
Alan Anderson,2013 - 2014,90,2033.5,0.4004,0.3333,0.7647,0.3123,0.4324
Alan Anderson,2014 - 2015,80,1886.0,0.4574,0.3673,0.8,0.324,0.4786
Alan Arnett,2017 - 2018,26,867.0,0.5691,0.3023,0.7811,0.6517,0.611
Alan Czujkowski,2014 - 2015,27,432.0,0.386,0.3776,0.6923,0.3102,0.4
Alan Czujkowski,2015 - 2016,31,476.3,0.4615,0.4035,0.7857,0.2708,0.4943
Alan Czujkowski,2018 - 2019,23,367.2,0.4382,0.4068,0.7879,0.3486,0.4917
Alan Daniels,2006 - 2007,32,1008.0,0.44,0.2519,0.7365,0.4831,0.4756
Alan Daniels,2007 - 2008,10,221.2,0.5057,0.2,0.5714,0.4611,0.4427
Alan Henderson,1999 - 2000,82,2775.0,0.4613,0.1,0.6707,0.3903,0.5133
Alan Henderson,2000 - 2001,73,1810.0,0.4441,0.0,0.6384,0.4249,0.4995
Alan Henderson,2002 - 2003,82,1494.0,0.4679,0.0,0.6377,0.2637,0.5161
Alan Henderson,2004 - 2005,87,1296.0,0.5299,0.0,0.5513,0.2245,0.5318
Alan Herndon,2018 - 2019,19,480.0,0.4196,0.2979,0.6129,0.2646,0.4211
Alan Matron,2019 - 2020,20,51.5,0.2308,0.2,nan,0.1553,0.2174
Alan Olivas,2016 - 2017,38,581.8,0.4695,0.2879,0.5429,0.33,0.434
Alan Olivas,2019 - 2020,14,96.4,0.5161,0.2,0.7143,0.3942,0.5116
Alan Tomidy,2000 - 2001,15,227.8,0.4839,0.25,0.625,0.3775,0.5283
Alan Voskuil,2019 - 2020,12,211.2,0.4211,0.4828,0.9375,0.5066,0.5
"Alan Wiggins, Jr.",2007 - 2008,32,757.0,0.5493,0.2143,0.7167,0.3738,0.5515
"Alan Wiggins, Jr.",2015 - 2016,14,319.1,0.4158,0.3182,0.7692,0.3479,0.4631
"Alan Wiggins, Jr.",2018 - 2019,37,936.0,0.4427,0.2794,0.5595,0.3675,0.4399
Alan Williams,2015 - 2016,35,1046.7,0.5046,nan,0.6748,0.6955,0.5574
Alan Williams,2019 - 2020,10,220.6,0.4925,nan,0.7179,0.4261,0.5755
Alan Zekovic,2019 - 2020,28,343.6,0.3438,0.2174,0.8462,0.2852,0.3869
Alandise Harris,2017 - 2018,47,1149.4,0.4814,0.354,0.6962,0.4124,0.4756
Alandise Harris,2019 - 2020,11,209.4,0.3836,0.2778,0.72,0.3773,0.4397
Alando Tucker,2013 - 2014,42,1177.2,0.5428,0.234,0.7423,0.5827,0.5554
Alando Tucker,2016 - 2017,26,796.0,0.4294,0.2846,0.7959,0.4962,0.4603
Alando Tucker,2017 - 2018,6,127.0,0.2857,0.1333,0.5556,0.2441,0.2879
Alante Fenner,2019 - 2020,13,286.0,0.4532,0.3469,0.72,0.5629,0.4601
Alasdair Fraser,2015 - 2016,25,675.0,0.4833,0.1842,0.8182,0.4356,0.4824
Alasdair Fraser,2017 - 2018,30,827.6,0.5304,0.3846,0.7941,0.4785,0.5651
Alasdair Fraser,2018 - 2019,35,825.1,0.5616,0.1538,0.7812,0.5466,0.5973
Alasdair Fraser,2019 - 2020,15,462.6,0.6,0.4,0.7429,0.5275,0.6182
Alassan Touray,2015 - 2016,24,431.5,0.3966,0.2063,0.5185,0.2758,0.3544
Alassan Touray,2016 - 2017,36,954.1,0.4321,0.3839,0.7117,0.3815,0.4831
Alassan Touray,2017 - 2018,33,687.5,0.3605,0.2537,0.7407,0.2924,0.4344
Alaudin Mustafa,2018 - 2019,16,410.6,0.3256,0.2078,0.2692,0.3288,0.2873
Alban Veseli,2013 - 2014,16,269.0,0.3913,0.2903,0.0,0.3346,0.3439
Alban Veseli,2014 - 2015,14,445.2,0.4312,0.3068,0.6061,0.4155,0.4128
Alban Veseli,2015 - 2016,10,334.1,0.4074,0.3333,0.7143,0.3382,0.3943
Alban Veseli,2016 - 2017,38,1166.3,0.4182,0.361,0.5417,0.5273,0.4118
Alban Veseli,2017 - 2018,32,785.1,0.4506,0.3285,0.4468,0.5057,0.4066
Alban Veseli,2019 - 2020,29,723.7,0.3846,0.3352,0.6957,0.4159,0.396
Albatrit Berisha,2016 - 2017,25,523.3,0.3831,0.2771,0.5789,0.2905,0.3633
Albelard Rashiti,2017 - 2018,28,442.1,0.3714,0.2833,0.75,0.1674,0.3433
Albert Fontet,2015 - 2016,6,116.0,0.3529,nan,0.8,0.1724,0.5185
Albert Margai,2012 - 2013,36,965.5,0.44,0.375,0.6071,0.2776,0.4483
Albert Margai,2016 - 2017,35,651.5,0.3116,0.1923,0.5556,0.1704,0.3134
Albert Miralles,2004 - 2005,46,1070.0,0.5886,0.2941,0.5967,0.4533,0.5817
Albert Miralles,2005 - 2006,28,484.2,0.4815,0.2083,0.5556,0.3738,0.464
Albert Miralles,2007 - 2008,51,917.1,0.5234,0.2326,0.6222,0.3184,0.5136
Albert Miralles,2008 - 2009,47,764.4,0.4625,0.0,0.625,0.3428,0.4871
Albert Miralles,2009 - 2010,34,729.9,0.5525,0.3333,0.6017,0.3754,0.5649
Albert Miralles,2010 - 2011,34,850.5,0.5175,0.25,0.5658,0.3304,0.5224
Albert Miralles,2011 - 2012,32,876.0,0.6272,0.2222,0.5577,0.395,0.5953
Albert Miralles,2012 - 2013,78,1388.2,0.5382,0.5,0.5061,0.2939,0.5268
Albert Miralles,2013 - 2014,34,612.6,0.4709,0.0,0.6923,0.4603,0.5347
Albert Miralles,2014 - 2015,36,688.7,0.502,0.25,0.5375,0.4269,0.5076
Albert Miralles,2015 - 2016,31,481.4,0.4444,0.0,0.6,0.3074,0.492
Albert Oliver,2003 - 2004,34,1002.0,0.3732,0.2807,0.8289,0.3693,0.48
Albert Oliver,2004 - 2005,34,997.9,0.434,0.3511,0.7283,0.3437,0.4672
Albert Oliver,2005 - 2006,34,1022.6,0.3619,0.2969,0.7222,0.3491,0.4271
Albert Oliver,2006 - 2007,38,886.0,0.377,0.2705,0.8182,0.3431,0.4419
Albert Oliver,2007 - 2008,52,1056.2,0.4216,0.3795,0.7768,0.3711,0.4796
Albert Oliver,2008 - 2009,47,1038.2,0.3759,0.3374,0.8182,0.3468,0.4606
Albert Oliver,2009 - 2010,36,986.1,0.3697,0.2385,0.9048,0.2616,0.4455
Albert Oliver,2010 - 2011,43,876.6,0.4695,0.2833,0.7273,0.259,0.4983
Albert Oliver,2011 - 2012,34,652.2,0.3403,0.2698,0.8788,0.2653,0.4542
Albert Oliver,2012 - 2013,34,720.0,0.4208,0.3381,0.9392,0.5389,0.5446
Albert Oliver,2013 - 2014,37,770.3,0.3308,0.2754,0.8614,0.3856,0.4228
Albert Oliver,2014 - 2015,60,1137.8,0.4308,0.3886,0.9192,0.4482,0.4852
Albert Oliver,2015 - 2016,59,1121.1,0.3407,0.2663,0.9161,0.3836,0.4367
Albert Oliver,2016 - 2017,51,939.0,0.35,0.2969,0.9158,0.3269,0.4472
Albert Oliver,2017 - 2018,52,938.1,0.4136,0.3241,0.9271,0.4051,0.4813
Albert Oliver,2018 - 2019,28,409.0,0.3243,0.3333,0.8966,0.2787,0.4149
Albert Oliver,2019 - 2020,22,316.9,0.4316,0.3878,0.9167,0.3881,0.4881
Albert Owens,2018 - 2019,4,90.8,0.3,nan,0.3333,0.1542,0.3077
Albert Sabat,2015 - 2016,34,651.8,0.3827,0.3231,0.9206,0.3836,0.4499
Albert Sabat,2016 - 2017,32,775.2,0.445,0.4438,0.92,0.4063,0.4989
Albert Sabat,2017 - 2018,33,630.6,0.3293,0.3308,0.8409,0.3029,0.3953
Albert Sabat,2018 - 2019,34,736.1,0.3931,0.374,0.8333,0.2486,0.42
Albert Ventura,2013 - 2014,32,598.1,0.3588,0.2449,0.7541,0.2541,0.4357
Albert Ventura,2014 - 2015,36,645.2,0.4186,0.3636,0.6591,0.2495,0.4477
Albert Ventura,2016 - 2017,31,568.2,0.3831,0.2821,0.75,0.3098,0.4179
Albert Ventura,2017 - 2018,33,647.4,0.3636,0.274,0.7273,0.278,0.4096
Albert Ventura,2018 - 2019,35,792.4,0.3961,0.3368,0.7879,0.2272,0.422
Albert Ventura,2019 - 2020,44,912.8,0.3172,0.2526,0.7368,0.1578,0.3525
Albert Zeinoun,2018 - 2019,18,279.2,0.3,0.0909,0.1429,0.1397,0.236
Albert Zeinoun,2019 - 2020,5,76.9,0.4706,0.3333,0.4,0.2601,0.4286
Alberto Abalde,2015 - 2016,30,526.9,0.4199,0.4198,0.8621,0.4005,0.4639
Alberto Abalde,2016 - 2017,31,741.2,0.4593,0.3103,0.6909,0.4223,0.4587
Alberto Abalde,2017 - 2018,57,1103.2,0.4401,0.413,0.8971,0.3735,0.4907
Alberto Abalde,2018 - 2019,55,935.2,0.4508,0.3196,0.8205,0.3368,0.4893
Alberto Abalde,2019 - 2020,50,984.0,0.481,0.3551,0.7423,0.4207,0.5038
Alberto Angulo,2000 - 2001,15,272.1,0.5176,0.4,0.5833,0.3638,0.514
Alberto Angulo,2001 - 2002,9,197.3,0.5397,0.5,0.8636,0.4663,0.6105
Alberto Angulo,2002 - 2003,10,260.0,0.4565,0.4,0.8636,0.5,0.5641
Alberto Angulo,2003 - 2004,45,869.4,0.4449,0.3019,0.7361,0.3485,0.4794
Alberto Angulo,2004 - 2005,30,658.9,0.4862,0.46,0.759,0.4523,0.547
Alberto Corbacho,2011 - 2012,33,660.3,0.3704,0.3415,0.9365,0.468,0.4286
Alberto Corbacho,2012 - 2013,36,901.7,0.4077,0.4014,0.9419,0.5246,0.4693
Alberto Corbacho,2013 - 2014,34,901.2,0.3874,0.3746,0.9623,0.4627,0.4275
Alberto Corbacho,2014 - 2015,34,828.9,0.3754,0.3564,0.9355,0.5043,0.4184
Alberto Corbacho,2018 - 2019,29,465.6,0.3955,0.3984,0.9167,0.3608,0.4197
Alberto Diaz,2014 - 2015,34,703.8,0.3333,0.3176,0.6842,0.2003,0.3804
Alberto Diaz,2015 - 2016,60,943.1,0.3757,0.3241,0.7826,0.2195,0.4149
Alberto Diaz,2016 - 2017,60,1143.5,0.3905,0.3864,0.7536,0.2335,0.4501
Alberto Diaz,2017 - 2018,66,1334.9,0.3428,0.3299,0.8333,0.2157,0.3723
Alberto Diaz,2019 - 2020,36,743.8,0.3966,0.3482,0.85,0.2837,0.4356
Alberto Herreros,2000 - 2001,15,362.1,0.4435,0.3968,0.7708,0.475,0.4979
Alberto Herreros,2001 - 2002,9,231.0,0.4306,0.4091,0.871,0.4632,0.517
Alberto Herreros,2002 - 2003,12,277.0,0.4125,0.325,0.8,0.4007,0.4875
Alberto Herreros,2003 - 2004,55,1613.4,0.4454,0.4316,0.8841,0.4047,0.5096
Alberto Herreros,2004 - 2005,58,1093.7,0.4691,0.4664,0.7865,0.437,0.5126
Alberto Miguel,2005 - 2006,33,782.6,0.4125,0.3926,0.9118,0.3603,0.4474
Alberto Rossini,2004 - 2005,33,984.0,0.4238,0.2778,0.6429,0.187,0.4301
Alberts Putans,2019 - 2020,25,464.8,0.3431,0.2394,0.9091,0.2818,0.3652
Albin Berisha,2018 - 2019,15,394.5,0.441,0.0938,0.675,0.436,0.4335
Albin Berisha,2019 - 2020,22,349.2,0.3663,0.2632,0.7368,0.295,0.3729
Albin Frank,2014 - 2015,33,803.2,0.3968,0.3585,0.7143,0.2527,0.4051
Albin Frank,2019 - 2020,27,223.4,0.2222,0.2105,0.9231,0.1432,0.3529
Albin Hall-Eriksson,2018 - 2019,40,925.5,0.4068,0.35,0.6905,0.2842,0.4196
Albin Hall-Eriksson,2019 - 2020,30,595.3,0.3672,0.339,0.9444,0.2201,0.4098
Aldin Dedic,2011 - 2012,24,404.3,0.3821,0.3382,0.4615,0.3141,0.3725
Aldin Dzelmo,2015 - 2016,25,812.9,0.6425,0.4054,0.55,0.4404,0.576
Aldin Dzelmo,2016 - 2017,24,386.9,0.6239,0.3,0.6,0.4523,0.5815
Aldin Hasic,2015 - 2016,26,824.7,0.3293,0.2989,0.5909,0.3565,0.3407
Aldin Kadic,2015 - 2016,26,667.4,0.5887,0.3333,0.6154,0.3132,0.586
Aldin Muflizovic,2012 - 2013,18,566.4,0.4603,0.3784,0.4909,0.3019,0.4431
Aldin Muflizovic,2014 - 2015,21,352.8,0.4536,0.383,0.6154,0.3685,0.4699
Aldin Muflizovic,2015 - 2016,38,714.5,0.4536,0.2791,0.6092,0.3233,0.4728
Aldin Muflizovic,2016 - 2017,28,478.5,0.4188,0.1837,0.5581,0.2738,0.3923
Aldin Muflizovic,2017 - 2018,30,515.9,0.375,0.169,0.5536,0.3276,0.3593
Aldin Muflizovic,2018 - 2019,26,621.9,0.3551,0.1447,0.5857,0.328,0.3556
Aldin Muflizovic,2019 - 2020,20,343.8,0.4597,0.25,0.3191,0.4159,0.3789
Aldo Curti,2005 - 2006,37,740.0,0.3725,0.25,0.6593,0.2541,0.4367
Aldo Curti,2006 - 2007,34,818.0,0.3987,0.3529,0.7957,0.2543,0.525
Aldo Curti,2007 - 2008,29,626.0,0.4608,0.4333,0.7656,0.2492,0.5561
Aldo Curti,2008 - 2009,36,848.0,0.3092,0.2326,0.7143,0.2335,0.3691
Aldo Curti,2009 - 2010,43,980.5,0.4856,0.4444,0.7742,0.3202,0.5448
Aldo Curti,2010 - 2011,28,751.0,0.3857,0.2991,0.6154,0.2943,0.3825
Aldo Curti,2013 - 2014,27,660.0,0.3279,0.283,0.7656,0.2182,0.4351
Alec Brown,2015 - 2016,29,473.8,0.4803,0.4154,0.75,0.3715,0.5044
Alec Brown,2017 - 2018,34,710.8,0.4414,0.3731,0.8406,0.5121,0.4787
Alec Brown,2018 - 2019,31,737.1,0.4672,0.4113,0.814,0.445,0.4859
Alec Burks,2011 - 2012,63,1001.9,0.4156,0.3191,0.7389,0.4501,0.4941
Alec Burks,2012 - 2013,64,1136.6,0.4201,0.3587,0.7132,0.3968,0.4729
Alec Burks,2013 - 2014,78,2193.1,0.4573,0.3497,0.748,0.4966,0.5264
Alec Burks,2017 - 2018,73,1179.0,0.4184,0.3457,0.8633,0.4885,0.4827
Alec Burks,2018 - 2019,64,1374.9,0.4051,0.3631,0.8227,0.408,0.4713
Alec Burks,2019 - 2020,70,1849.0,0.4125,0.3754,0.8832,0.5598,0.4957
Alec Peters,2018 - 2019,36,586.1,0.42,0.4333,0.8929,0.3242,0.4739
Alec Peters,2019 - 2020,37,624.9,0.4968,0.3765,0.8444,0.3617,0.5157
Aled Jones,2013 - 2014,15,240.5,0.3571,0.25,0.3333,0.0915,0.3429
Aleh Kojenets,2011 - 2012,28,544.5,0.5907,0.0,0.8154,0.5638,0.6406
Aleh Makarau,2013 - 2014,36,618.3,0.2727,0.2541,0.7917,0.2992,0.3325
Aleix Font,2019 - 2020,14,151.3,0.3269,0.2759,0.6667,0.2908,0.3214
Alejandro Aguirre,2011 - 2012,49,759.3,0.4843,0.0,0.625,0.2226,0.5
Alejandro Alloatti,2011 - 2012,51,944.3,0.5263,0.0,0.6277,0.3378,0.551
Alejandro Alloatti,2012 - 2013,49,790.0,0.5429,0.5,0.8267,0.3671,0.6128
Alejandro Alloatti,2013 - 2014,48,727.9,0.5536,0.3333,0.7065,0.4314,0.5956
Alejandro Alloatti,2014 - 2015,53,1558.3,0.5321,0.0,0.7654,0.4601,0.5857
Alejandro Alloatti,2015 - 2016,61,1514.5,0.5148,0.3571,0.8051,0.4015,0.5498
Alejandro Alloatti,2018 - 2019,31,470.6,0.4737,nan,0.75,0.2677,0.5664
Alejandro Ariel Montecchia,2002 - 2003,18,348.0,0.4074,0.4107,0.8621,0.3276,0.488
Alejandro Ariel Montecchia,2003 - 2004,55,1182.2,0.4748,0.4316,0.8537,0.4001,0.5079
Alejandro Ariel Montecchia,2004 - 2005,36,757.1,0.4224,0.3782,0.925,0.2879,0.4688
Alejandro Carmona Sanchez,2013 - 2014,37,1193.4,0.6099,0.2885,0.8517,0.7801,0.649
Alejandro Diez,2011 - 2012,50,1228.0,0.3883,0.2832,0.7126,0.2858,0.406
Alejandro Diez,2012 - 2013,52,785.3,0.5056,0.4043,0.7097,0.3056,0.495
Alejandro Diez,2013 - 2014,52,920.5,0.442,0.3248,0.7,0.2944,0.4399
Alejandro Diez,2014 - 2015,60,1382.3,0.4945,0.3333,0.7583,0.3697,0.5
Alejandro Diez,2015 - 2016,45,796.5,0.4554,0.3182,0.678,0.3289,0.4583
Alejandro Diez,2016 - 2017,53,1402.9,0.5032,0.2371,0.7456,0.3008,0.5067
Alejandro Diez,2017 - 2018,42,1145.2,0.4414,0.3103,0.7386,0.3196,0.4551
Alejandro Diez,2018 - 2019,50,854.8,0.3874,0.3083,0.825,0.2831,0.4084
Alejandro Diez,2019 - 2020,23,714.6,0.4917,0.2637,0.7846,0.438,0.4874
Alejandro Grant,2019 - 2020,17,383.9,0.3567,0.25,0.6316,0.422,0.3926
Alejandro Konsztatd,2011 - 2012,56,1376.3,0.4812,0.4091,0.824,0.3124,0.5473
