player,season,GP_sum,MIN_sum,FG_accuracy,3P_accuracy,FT_accuracy,points_per_min,overall_shooting_accuracy
Aaron Brooks,2009 - 2010,82,2919.4,0.432,0.3981,0.8221,0.5494,0.4777
Aaron Brooks,2011 - 2012,41,1257.3,0.4851,0.4071,0.8303,0.7285,0.5135
Aaron Brooks,2012 - 2013,6,66.9,0.3824,0.1111,0.6,0.4484,0.3542
Aaron Brooks,2013 - 2014,72,1557.2,0.401,0.3871,0.8737,0.4142,0.4459
Aaron Brooks,2014 - 2015,94,2016.8,0.4157,0.3805,0.8232,0.4998,0.4599
Aaron Brooks,2016 - 2017,65,893.7,0.4033,0.375,0.8,0.3603,0.4295
Aaron Broussard,2017 - 2018,34,1009.0,0.4593,0.3967,0.8125,0.4807,0.4934
Aaron Broussard,2018 - 2019,39,782.8,0.5256,0.3333,0.7262,0.502,0.5323
Aaron Broussard,2019 - 2020,29,757.9,0.4935,0.3377,0.7872,0.4869,0.4977
Aaron Cel,2011 - 2012,51,929.5,0.4704,0.3774,0.746,0.3841,0.4868
Aaron Cel,2012 - 2013,43,1102.2,0.5146,0.3559,0.7015,0.4001,0.5028
Aaron Cel,2013 - 2014,59,1216.4,0.4884,0.3409,0.7273,0.3412,0.4713
Aaron Cel,2014 - 2015,53,1391.1,0.4916,0.4107,0.6875,0.3601,0.4797
Aaron Cel,2015 - 2016,40,650.0,0.5515,0.3908,0.75,0.4185,0.5272
Aaron Cel,2017 - 2018,38,1019.2,0.521,0.375,0.8158,0.4494,0.5279
Aaron Cel,2018 - 2019,40,973.3,0.5167,0.3841,0.7619,0.4695,0.5209
Aaron Cel,2019 - 2020,20,472.6,0.488,0.2623,0.75,0.4401,0.4757
Aaron Craft,2016 - 2017,44,1276.0,0.4482,0.2987,0.7685,0.3542,0.4886
Aaron Craft,2017 - 2018,44,999.0,0.509,0.4,0.8387,0.2963,0.5562
Aaron Craft,2018 - 2019,34,954.4,0.5,0.3387,0.6515,0.3814,0.5
Aaron Craft,2019 - 2020,33,975.6,0.4885,0.28,0.8095,0.2665,0.4984
Aaron Doornekamp,2011 - 2012,31,723.0,0.44,0.4462,0.8542,0.3098,0.5104
Aaron Doornekamp,2013 - 2014,68,1994.6,0.4274,0.3741,0.7708,0.2998,0.447
Aaron Doornekamp,2014 - 2015,74,1806.6,0.4038,0.339,0.75,0.2801,0.4378
Aaron Doornekamp,2015 - 2016,97,2677.6,0.4523,0.4276,0.8586,0.3888,0.4996
Aaron Doornekamp,2016 - 2017,35,927.7,0.4716,0.4265,0.8592,0.4635,0.5035
Aaron Doornekamp,2017 - 2018,67,1453.5,0.4059,0.3879,0.7294,0.2896,0.4429
Aaron Doornekamp,2018 - 2019,63,1116.9,0.406,0.3861,0.8116,0.2749,0.4599
